player,player_id,TEAM,OFFENSIVE ARCHETYPE,MINUTES,POSITION,AGE,TIER,LEBRON,O-LEBRON,D-LEBRON,WINS ADDED,BOXLEBRON,BOXOLEBRON,BOXDLEBRON,LA-RAPM,LA-O-RAPM,LA-D-RAPM
Devon Dotson,dotsode01,CHI,Secondary Ball Handler,85,PG,22,,-0.62,-0.4,-0.22,0.1,-0.6,-0.39,-0.2,-0.5,-0.2,-0.3
Carlik Jones,jonesca03,DAL/DEN,Slasher,23,PG,24,,-0.62,-0.26,-0.36,0,-0.52,-0.21,-0.31,0,0,0
Markus Howard,howarma02,DEN,Movement Shooter,176,SG,23,,-0.64,0.58,-1.22,0.2,-0.51,0.44,-0.95,-0.8,0.14,-0.94
Moses Wright,wrighmo01,LAC/DAL,Roll + Cut Big,15,PF,23,,-0.64,-0.3,-0.35,0,-0.53,-0.21,-0.31,0,0,0
Devontae Cacok,cacokde01,SAS,Roll + Cut Big,121,PF,25,,-0.65,-1.09,0.44,0.1,-0.79,-1.19,0.4,0.09,0.09,0.01
Cheick Diallo,diallch01,DET,Roll + Cut Big,31,C,25,,-0.66,-0.66,-0.01,0,-0.55,-0.53,-0.03,0,0,0
Wayne Selden,seldewa01,NYK,Secondary Ball Handler,19,SG,27,,-0.66,-0.35,-0.31,0,-0.51,-0.31,-0.2,-0.11,-0.07,-0.04
Dean Wade,wadede01,CLE,Stationary Shooter,980,PF,25,,-0.66,-1.85,1.19,1.1,-1.25,-1.56,0.31,0.01,-1.18,1.17
Xavier Sneed,sneedxa01,MEM/UTA,Off Screen Shooter,39,SF,24,,-0.66,0,-0.66,0,-0.73,-0.16,-0.57,0,0,0
George Hill,hillge01,MIL,Secondary Ball Handler,"1,253",SG,35,,-0.68,-0.86,0.18,1.4,-1.44,-1.24,-0.2,0.86,1,-0.14
Harrison Barnes,barneha02,SAC,Stationary Shooter,"2,587",PF,29,,-0.68,0.73,-1.4,2.8,-1.02,0.25,-1.26,-1.02,1.02,-2.03
Wenyen Gabriel,gabriwe01,BRK/LAC/LAL,Stretch Big,359,PF,25,,-0.68,-0.2,-0.48,0.4,-0.98,-0.86,-0.11,0,0,0
JaMychal Green,greenja01,DEN,Stretch Big,"1,085",PF,31,,-0.69,-0.93,0.23,1.2,-0.08,-0.68,0.6,-2.35,-1.43,-0.92
Malik Beasley,beaslma01,MIN,Movement Shooter,"1,976",SG,25,,-0.69,0.48,-1.17,2.2,-0.76,0.8,-1.56,-1.78,-1.53,-0.25
JaQuori McLaughlin,mclauja01,DAL,Secondary Ball Handler,11,PG,24,,-0.69,-0.25,-0.44,0,-0.55,-0.23,-0.32,-0.17,-0.04,-0.13
Isaiah Stewart,stewais01,DET,Roll + Cut Big,"1,816",C,20,,-0.7,-2.5,1.8,2,-1.92,-2.4,0.49,-0.62,-2.24,1.61
Gabriel Deck,deckga01,OKC,Stretch Big,56,PF,27,,-0.7,-0.75,0.05,0.1,-0.59,-0.65,0.06,-0.26,-0.11,-0.15
Trey Murphy III,murphtr02,NOP,Stationary Shooter,864,SF,21,,-0.7,-0.41,-0.29,0.9,-0.94,-0.25,-0.69,-0.38,-1.15,0.77
Larry Nance Jr.,nancela02,POR/NOP,Stretch Big,"1,040",PF,29,,-0.71,-1.04,0.33,1.1,-1,-1.21,0.21,0.41,0.42,0.01
Nerlens Noel,noelne01,NYK,Roll + Cut Big,562,C,28,,-0.72,-3.25,2.53,0.6,-0.44,-2.82,2.38,-0.45,-0.5,0.05
Shaquille Harrison,harrish01,BRK,Movement Shooter,23,SG,28,,-0.72,-0.38,-0.33,0,-0.68,-0.3,-0.38,0,0,0
Shake Milton,miltosh01,PHI,Secondary Ball Handler,"1,179",PG,25,,-0.72,-0.46,-0.25,1.3,-1.79,-0.98,-0.81,1.04,0.14,0.9
Terry Taylor,taylote01,IND,Roll + Cut Big,714,SG,22,,-0.73,0.73,-1.47,0.8,-1.48,0.14,-1.62,0,0,0
