player,TEAM,OFFENSIVE ARCHETYPE,MINUTES,POSITION,AGE,TIER,LEBRON,O-LEBRON,D-LEBRON,WINS ADDED,BOXLEBRON,BOXOLEBRON,BOXDLEBRON,LA-RAPM,LA-O-RAPM,LA-D-RAPM
Eric Paschall,UTA,Stationary Shooter,737,PF,25,,-1.8,-0.1,-1.71,0.3,-1.17,0.09,-1.26,-0.54,-0.43,-0.11
Ish Wainright,PHO,Athletic Finisher,359,PF,27,,-1.8,-1.43,-0.37,0.1,-2.45,-1.88,-0.57,0.12,0.01,0.13
Grant Williams,BOS,Stationary Shooter,"1,875",PF,23,,-1.81,-1.82,0.01,0.7,-0.71,-1.44,0.73,-1.04,-1.13,0.09
Ayo Dosunmu,CHI,Primary Ball Handler,"2,110",SG,22,,-1.81,-1.39,-0.42,0.8,-1.88,-1.55,-0.33,-0.68,-0.85,0.18
Marcus Morris,LAC,Shot Creator,"1,564",PF,32,,-1.82,-0.44,-1.38,0.6,-0.28,0.01,-0.3,-0.55,-0.07,-0.49
Patrick Williams,CHI,Stationary Shooter,422,PF,20,,-1.83,-1.62,-0.21,0.1,-1.64,-1.72,0.08,-0.45,-0.63,0.17
Cassius Stanley,DET,Athletic Finisher,155,SG,22,,-1.83,-1.44,-0.39,0.1,-1.56,-1.41,-0.15,0,0,0
Svi Mykhailiuk,TOR,Movement Shooter,716,SF,24,,-1.84,-1.31,-0.53,0.2,-2.11,-1.36,-0.75,-0.77,-0.38,-0.39
Kevin Porter Jr.,HOU,Primary Ball Handler,"1,907",PG,21,,-1.85,-0.92,-0.93,0.6,-0.89,0.23,-1.13,-1.07,-1.22,0.14
Josh Giddey,OKC,Primary Ball Handler,"1,700",SG,19,,-1.85,-2.02,0.17,0.6,-1.33,-1.22,-0.12,-4.06,-3.27,-0.79
Donte DiVincenzo,MIL/SAC,Secondary Ball Handler,"1,005",SG,25,,-1.86,-0.96,-0.9,0.3,-0.89,-0.42,-0.46,0,0,0
